store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"160|25618","Knee Pads|Protective Elbow and Knee Pads",37167,"319",,"MOLDED NATURAL RUBBER KNEEPADS","","MOLDED NATURAL RUBBER KNEEPADS","Molded Kneepads with Poly Web Strap Fasteners",/\3\1\MOLDED-NATURAL-RUBBER.jpg,/\3\1\MOLDED-NATURAL-RUBBER.jpg,http://www.48ws.com/images/product/3/1/MOLDED-NATURAL-RUBBER.jpg,MOLDED-NATURAL-RUBBER-KNEEPADS,MOLDED-NATURAL-RUBBER-KNEEPADS,,No layout updates.,Block after Info Column,,"MOLDED NATURAL RUBBER KNEEPADS","MOLDED NATURAL RUBBER KNEEPADS",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=319",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Molded Kneepads with Poly Web Strap Fasteners","<li>Flat face design for added stability.</li><li>One size fits all.</li><li>Double poly web straps with metal buckle.</li>","","","MOLDED NATURAL RUBBER KNEEPADS","MOLDED NATURAL RUBBER KNEEPADS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27969","Tape Measures",37168,"464",,"16' - 30' MEASURING TAPE HOLDER","","16' - 30' MEASURING TAPE HOLDER","<li>Top grain leather</li><li>Molded leather retains shape</li>",/\4\6\16-30-MEASURING-TAPE.png,/\4\6\16-30-MEASURING-TAPE.png,http://www.48ws.com/images/product/4/6/16-30-MEASURING-TAPE.png,custom-leathercraft-464-,custom-leathercraft-464-,,No layout updates.,Block after Info Column,,"16' - 30' MEASURING TAPE HOLDER","16' - 30' MEASURING TAPE HOLDER",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=464",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>Top grain leather</li><li>Molded leather retains shape</li>","<li>Safety snap included</li><li>Easy out keel</li><li>Fits belts up to 2 3/4&quot; wide</li>","","","16' - 30' MEASURING TAPE HOLDER","16' - 30' MEASURING TAPE HOLDER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"162|26136","Tool Belts|Tool and Work Belts",37169,"505",,"2 1/4&quot; POLY WEB WORK BELT","","2 1/4&quot; POLY WEB WORK BELT","Poly Work Belt",/\5\0\2-14-POLY-WEB-WORK.png,/\5\0\2-14-POLY-WEB-WORK.png,http://www.48ws.com/images/product/5/0/2-14-POLY-WEB-WORK.png,2-14-POLY-WEB-WORK-BELT,2-14-POLY-WEB-WORK-BELT,,No layout updates.,Block after Info Column,,"2 1/4&quot; POLY WEB WORK BELT","2 1/4&quot; POLY WEB WORK BELT",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=505",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Poly Work Belt","<li>Heavy-duty poly web.</li><li>Heavy-duty steel buckle.</li><li>Fits waist sizes 29&quot; - 46&quot;.</li>","","","2 1/4&quot; POLY WEB WORK BELT","2 1/4&quot; POLY WEB WORK BELT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2495|27514","Standard Hammers|Simpson LUC-LU-U-HU-HUC Standard Joist Hangers",37170,"739",,"STEEL SWINGING HAMMER HOLDER","","STEEL SWINGING HAMMER HOLDER","Top Grain Cowhide Hammer Holder",/\7\3\STEEL-SWINGING-HAMMER.png,/\7\3\STEEL-SWINGING-HAMMER.png,http://www.48ws.com/images/product/7/3/STEEL-SWINGING-HAMMER.png,STEEL-SWINGING-HAMMER-HOLDER,STEEL-SWINGING-HAMMER-HOLDER,,No layout updates.,Block after Info Column,,"STEEL SWINGING HAMMER HOLDER","STEEL SWINGING HAMMER HOLDER",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=739",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Top Grain Cowhide Hammer Holder","<li>Top grain leather.</li><li>Cradle design keeps hammer secure.</li><li>Swing feature keeps hammer vertical.</li><li>Fits belts up to 2 3/4&quot; wide.</li>","","","STEEL SWINGING HAMMER HOLDER","STEEL SWINGING HAMMER HOLDER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37190,"5125",,"UNIVERSAL CELL PHONE HOLDER","","UNIVERSAL CELL PHONE HOLDER","Black Nylon Cell Phone Holder with Velcro Closing",/\5\1\UNIVERSAL-CELL-PHONE.png,/\5\1\UNIVERSAL-CELL-PHONE.png,http://www.48ws.com/images/product/5/1/UNIVERSAL-CELL-PHONE.png,UNIVERSAL-CELL-PHONE-HOLDER,UNIVERSAL-CELL-PHONE-HOLDER,,No layout updates.,Block after Info Column,,"UNIVERSAL CELL PHONE HOLDER","UNIVERSAL CELL PHONE HOLDER",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5125",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black Nylon Cell Phone Holder with Velcro Closing","<li>Holds most brands of compact cell phones.</li><li>Versatile 3-way attachment for belts, web suspenders, pants, etc.</li><li>Heavy duty clip on back and padded inside to protect cell phones.</li>","<li>Fits most brands of cell phones</li><li>Available in Black</li>","","UNIVERSAL CELL PHONE HOLDER","UNIVERSAL CELL PHONE HOLDER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"163|26135","Tool Bags|Aprons",37191,"1604",,"17 POCKET - 4 PIECE COMBO APRON","","17 POCKET - 4 PIECE COMBO APRON","Nylon Tool Belt with Adjustable Pockets",/\1\6\17-POCKET-4-PIECE-COMBO.png,/\1\6\17-POCKET-4-PIECE-COMBO.png,http://www.48ws.com/images/product/1/6/17-POCKET-4-PIECE-COMBO.png,17-POCKET-4-PIECE-COMBO-APRON,17-POCKET-4-PIECE-COMBO-APRON,,No layout updates.,Block after Info Column,,"17 POCKET - 4 PIECE COMBO APRON","17 POCKET - 4 PIECE COMBO APRON",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=1604",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nylon Tool Belt with Adjustable Pockets","<li>Made of polyester fabric and ballistic binding.</li><li>6 Main nail and tool pockets.</li><li>10 Smaller pockets for pliers, pencils, nail sets, two-way radio, etc.</li><li>Center pocket for tape, nails or other tools.</li><li>3&quot; Wide padded belt with steel roller buckle.</li><li>Fits waist sizes 29&quot;- 46&quot;.</li>","<li>Available in Black</li>","","17 POCKET - 4 PIECE COMBO APRON","17 POCKET - 4 PIECE COMBO APRON",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"163|27954","Tool Bags|Tool Bags and Cases",37192,"1620",,"11 POCKET NAIL & TOOL BAG","","11 POCKET NAIL & TOOL BAG","Black 11 Pocket Nail and Tool Bag",/\1\6\11-POCKET-NAIL-TOOL.png,/\1\6\11-POCKET-NAIL-TOOL.png,http://www.48ws.com/images/product/1/6/11-POCKET-NAIL-TOOL.png,11-POCKET-NAIL-TOOL-BAG,11-POCKET-NAIL-TOOL-BAG,,No layout updates.,Block after Info Column,,"11 POCKET NAIL & TOOL BAG","11 POCKET NAIL & TOOL BAG",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=1620",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black 11 Pocket Nail and Tool Bag","<li>Made of polyester fabric and ballistic binding.</li><li>2 Main pockets for tools and nails.</li><li>2 Additional upper pockets.</li><li>6 Smaller pockets for hand tools, pencils, nail sets, etc.</li><li>Pry bar or combination square holder.</li><li>Steel hammer loops</li>","<li>Large Black Versatile Nail and Tool Bag</li>","","11 POCKET NAIL & TOOL BAG","11 POCKET NAIL & TOOL BAG",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2560|21608","Standard Drills|Grilles",37193,"5020",,"CORDLESS DRILL HOLSTER","","CORDLESS DRILL HOLSTER","Black Nylon Cordless Drill Holster",/\5\0\CORDLESS-DRILL.png,/\5\0\CORDLESS-DRILL.png,http://www.48ws.com/images/product/5/0/CORDLESS-DRILL.png,CORDLESS-DRILL-HOLSTER,CORDLESS-DRILL-HOLSTER,,No layout updates.,Block after Info Column,,"CORDLESS DRILL HOLSTER","CORDLESS DRILL HOLSTER",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5020",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black Nylon Cordless Drill Holster","<li>Made of polyester fabric.</li><li>Holds most 3/8&quot; - 1/2&quot; drills up to 18 volts.</li><li>Pocket for drill bits or accessories.</li><li>Safety strap with hook and loop fastener.</li><li>Hook & loop backing to keep strap back when not in use.</li>","<li>Heavy Duty Black Nylon</li>","","CORDLESS DRILL HOLSTER","CORDLESS DRILL HOLSTER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37194,"5124",,"CELL PHONE HOLDER","","CELL PHONE HOLDER","Black Nylon Cell Phone Holder",/\5\1\CELL-PHONE.png,/\5\1\CELL-PHONE.png,http://www.48ws.com/images/product/5/1/CELL-PHONE.png,CELL-PHONE-HOLDER,CELL-PHONE-HOLDER,,No layout updates.,Block after Info Column,,"CELL PHONE HOLDER","CELL PHONE HOLDER",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5124",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black Nylon Cell Phone Holder","<li>Specially designed to securely hold newer and smaller cell phones.</li><li>Versatile 2-way attachment for belts, pants, etc.</li><li>Heavy-duty clip on back, elastic side panels and padded inside to protect cell phones.</li>","<li>Designed to hold smaller, more compact cell phones.</li>","","CELL PHONE HOLDER","CELL PHONE HOLDER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"163|27954","Tool Bags|Tool Bags and Cases",37195,"5833",,"9 POCKET NAIL & TOOL BAG","","9 POCKET NAIL & TOOL BAG","Heavy Duty Black Nylon Tool Bag",/\5\8\9-POCKET-NAIL-TOOL.png,/\5\8\9-POCKET-NAIL-TOOL.png,http://www.48ws.com/images/product/5/8/9-POCKET-NAIL-TOOL.png,9-POCKET-NAIL-TOOL-BAG,9-POCKET-NAIL-TOOL-BAG,,No layout updates.,Block after Info Column,,"9 POCKET NAIL & TOOL BAG","9 POCKET NAIL & TOOL BAG",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5833",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy Duty Black Nylon Tool Bag","<li>Double layer of rugged, lightweight ballistic poly fabric.</li><li>
Innovative handle design for easy adjustment and carrying.</li><li>
3 Main pockets for tools and nails.</li><li>
Gussets keep front pockets wide open for greater access.</li><li>
6 Smaller pockets for hand tools, pencils, nail sets, etc.</li><li>
2 Steel hammer loops.</li>","<li>Heavy Duty Nylon Fabric</li><li>Reinforced Stitching on handle.</li>","","9 POCKET NAIL & TOOL BAG","9 POCKET NAIL & TOOL BAG",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25767","Rubber Boots|Plain-Toe PVC and Rubber Boots",37196,"R220",,"Size 8 5-Buckle Overshoe Boot","Custom Leathercraft 5-Buckle Rubber Boots","Size 8 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)",/\R\2\5-Buckle-Rubber.png,/\R\2\5-Buckle-Rubber.png,http://www.48ws.com/images/product/R/2/5-Buckle-Rubber.png,5-Buckle-Rubber-Boots,5-Buckle-Rubber-Boots,,No layout updates.,Block after Info Column,,"Size 8 5-Buckle Overshoe Boot","Size 8 5-Buckle Overshoe Boot",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=R220",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","5-Buckle Rubber Boots (Black with Red Trim)<br></br>
<li>Fabric lined for comfort and easy removal.</li><li>
Fits over the shoe</li><li>
Red rubber bar tread sole for longer wear and traction.</li><li>
Ozone resistant black rubber uppers.</li><li>
Steel shank for stability and durability.</li>","","","Size 8 5-Buckle Overshoe Boot","Size 8 5-Buckle Overshoe Boot",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2606|25615","Standard Belts|Back Supports",37199,"5000",,"Medium Elastic Back Support Belt","Custom Leathercraft Black Elastic Back Support Belt w/ Velcro Closure","Medium Elastic Back Support Belt","Black Elastic Back Support Belt with Velcro Closure",/\5\0\ELASTIC-BACK-SUPPORT.png,/\5\0\ELASTIC-BACK-SUPPORT.png,http://www.48ws.com/images/product/5/0/ELASTIC-BACK-SUPPORT.png,ELASTIC-BACK-SUPPORT-BELT,ELASTIC-BACK-SUPPORT-BELT,,No layout updates.,Block after Info Column,,"Medium Elastic Back Support Belt","Medium Elastic Back Support Belt",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5000S",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>8&quot; Wide heavy-duty elastic back panel.</li><li>
5&quot; Wide heavy elastic bands for custom fit.</li><li>
1 1/4&quot; Wide elastic adjustable suspenders.</li><li>
4 Internal stays provide extra support.</li><li>
Tapered front panels for comfort while bending.</li>
<li><strong>M:</strong> Fits waist sizes 32&quot; - 38&quot;</li>","","","Medium Elastic Back Support Belt","Medium Elastic Back Support Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"162|26136","Tool Belts|Tool and Work Belts",37200,"E4501",,"1 3/4&quot; EMBOSSED LEATHER WORK BELT","","1 3/4&quot; EMBOSSED LEATHER WORK BELT","Embossed Leather Belt",/\E\4\1-34-EMBOSSED-LEATHER-WORK.png,/\E\4\1-34-EMBOSSED-LEATHER-WORK.png,http://www.48ws.com/images/product/E/4/1-34-EMBOSSED-LEATHER-WORK.png,1-34-EMBOSSED-LEATHER-WORK-BELT,1-34-EMBOSSED-LEATHER-WORK-BELT,,No layout updates.,Block after Info Column,,"1 3/4&quot; EMBOSSED LEATHER WORK BELT","1 3/4&quot; EMBOSSED LEATHER WORK BELT",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=E4501",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Embossed Leather Belt","<li>Embossed top grain leather.</li><li>
Steel tongue buckle.</li><li>
Trim to fit waist sizes 29&quot; - 46&quot;.</li>","<li>Embossed basket weave design</li>","","1 3/4&quot; EMBOSSED LEATHER WORK BELT","1 3/4&quot; EMBOSSED LEATHER WORK BELT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"163|27954","Tool Bags|Tool Bags and Cases",37201,"1933",,"10 POCKET CARPENTER'S NAIL & TOOL BAG","","10 POCKET CARPENTER'S NAIL & TOOL BAG","Sueded Carpenter's Nail & Tool Bag",/\1\9\10-POCKET-CARPENTERS-NAIL-TOOL.png,/\1\9\10-POCKET-CARPENTERS-NAIL-TOOL.png,http://www.48ws.com/images/product/1/9/10-POCKET-CARPENTERS-NAIL-TOOL.png,10-POCKET-CARPENTERS-NAIL-TOOL-BAG,10-POCKET-CARPENTERS-NAIL-TOOL-BAG,,No layout updates.,Block after Info Column,,"10 POCKET CARPENTER'S NAIL & TOOL BAG","10 POCKET CARPENTER'S NAIL & TOOL BAG",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=I933",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sueded Carpenter's Nail & Tool Bag","<li>Heavy-duty top grain leather.</li><li>
2 Main nail and tool pockets.</li><li>
2 Additional upper pockets.</li><li>
6 Smaller pockets fit pliers, nail sets, pencils, etc.</li><li>
Metal clip holds all measuring tape sizes.</li><li>
Fits belts up to 2¾&quot; wide.</li>","<li>Top grain sueded leather</li>","","10 POCKET CARPENTER'S NAIL & TOOL BAG","10 POCKET CARPENTER'S NAIL & TOOL BAG",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"160|25618","Knee Pads|Protective Elbow and Knee Pads",37202,"V230",,"STITCHED PLASTIC CAP KNEEPADS","","STITCHED PLASTIC CAP KNEEPADS","Black Kneepads with Stitched Plastic Cap",/\V\2\STITCHED-PLASTIC-CAP.png,/\V\2\STITCHED-PLASTIC-CAP.png,http://www.48ws.com/images/product/V/2/STITCHED-PLASTIC-CAP.png,STITCHED-PLASTIC-CAP-KNEEPADS,STITCHED-PLASTIC-CAP-KNEEPADS,,No layout updates.,Block after Info Column,,"STITCHED PLASTIC CAP KNEEPADS","STITCHED PLASTIC CAP KNEEPADS",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=V230",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black Kneepads with Stitched Plastic Cap","<li>Exclusive grooved cap design prevents thread abrasion.</li><li>
Super tough, lightweight fabric covering.</li><li>
Comfortable foam padding for extra knee protection.</li><li>
Comfortable, double straps with hook and loop fasteners.</li>","<li>One size fits all.</li>","","STITCHED PLASTIC CAP KNEEPADS","STITCHED PLASTIC CAP KNEEPADS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"163|27954","Tool Bags|Tool Bags and Cases",37587,"I823X",,"5-Pocket Nail/Tool Bag Right","","5-Pocket Nail/Tool Bag Right","5-Pocket Nail/Tool Bag Right/ Left with Hammer Loop.",/\1\8\Custom-Leathercraft-Mfg-5-Pocket-NailTool-Bag.jpg,/\1\8\Custom-Leathercraft-Mfg-5-Pocket-NailTool-Bag.jpg,http://www.48ws.com/images/product/1/8/Custom-Leathercraft-Mfg-5-Pocket-NailTool-Bag.jpg,Custom-Leathercraft-Mfg-5-Pocket-NailTool-Bag-Right,Custom-Leathercraft-Mfg-5-Pocket-NailTool-Bag-Right,,No layout updates.,Block after Info Column,,"5-Pocket Nail/Tool Bag Right","5-Pocket Nail/Tool Bag Right",Use config,"/external-url.aspx?u=www.doitbest.com/Nail+aprons-Custom+Leathercraft-model-I823X-doitbest-sku-375241.dib",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5-Pocket Nail/Tool Bag Right/ Left with Hammer Loop.","2 main nail pockets, 6 small pockets, steel hammer loop. Tunnel belt loop for up to 2-3/4&quot; wide belts. Double nylon stitched and rivet reinforced. Can be worn on right or left side. Heavy-duty suede leather. Import.","","","Custom Leathercraft Mfg. 5-Pocket Nail/Tool Bag Right","5-Pocket Nail/Tool Bag Right",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2606|25615","Standard Belts|Back Supports",89013,"5001",,"Large Elastic Back Support Belt","Custom Leathercraft Black Elastic Back Support Belt w/ Velcro Closure","Large Elastic Back Support Belt","Black Elastic Back Support Belt with Velcro Closure",/\5\0\ELASTIC-BACK-SUPPORT.png,/\5\0\ELASTIC-BACK-SUPPORT.png,http://www.48ws.com/images/product/5/0/ELASTIC-BACK-SUPPORT.png,Large-Elastic-Back-Support-Belt,Large-Elastic-Back-Support-Belt,,No layout updates.,Block after Info Column,,"Large Elastic Back Support Belt","Large Elastic Back Support Belt",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5000S",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Large Elastic Back Support Belt","<li>8&quot; Wide heavy-duty elastic back panel.</li><li>
5&quot; Wide heavy elastic bands for custom fit.</li><li>
1 1/4&quot; Wide elastic adjustable suspenders.</li><li>
4 Internal stays provide extra support.</li><li>
Tapered front panels for comfort while bending.</li>
<li><strong>L:</strong> Fits waist sizes 38&quot; - 47&quot;</li>","","","Large Elastic Back Support Belt","Large Elastic Back Support Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2606|25615","Standard Belts|Back Supports",89014,"5002",,"X-Large Elastic Back Support Belt","Custom Leathercraft Black Elastic Back Support Belt w/ Velcro Closure","X-Large Elastic Back Support Belt","Black Elastic Back Support Belt with Velcro Closure",/\5\0\ELASTIC-BACK-SUPPORT.png,/\5\0\ELASTIC-BACK-SUPPORT.png,http://www.48ws.com/images/product/5/0/ELASTIC-BACK-SUPPORT.png,X-Large-Elastic-Back-Support-Belt,X-Large-Elastic-Back-Support-Belt,,No layout updates.,Block after Info Column,,"X-Large Elastic Back Support Belt","X-Large Elastic Back Support Belt",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=5000S",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"X-Large Elastic Back Support Belt","<li>8&quot; Wide heavy-duty elastic back panel.</li><li>
5&quot; Wide heavy elastic bands for custom fit.</li><li>
1 1/4&quot; Wide elastic adjustable suspenders.</li><li>
4 Internal stays provide extra support.</li><li>
Tapered front panels for comfort while bending.</li>
","","","X-Large Elastic Back Support Belt","X-Large Elastic Back Support Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25767","Rubber Boots|Plain-Toe PVC and Rubber Boots",89049,"R221",,"Size 9 5-Buckle Overshoe Boot","Custom Leathercraft 5-Buckle Rubber Boots","Size 9 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)",/\R\2\5-Buckle-Rubber.png,/\R\2\5-Buckle-Rubber.png,http://www.48ws.com/images/product/R/2/5-Buckle-Rubber.png,Size-9-5-Buckle-Overshoe-Boot,Size-9-5-Buckle-Overshoe-Boot,,No layout updates.,Block after Info Column,,"Size 9 5-Buckle Overshoe Boot","Size 9 5-Buckle Overshoe Boot",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=R220",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size 9 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)<br></br>
<li>Fabric lined for comfort and easy removal.</li><li>
Fits over the shoe</li><li>
Red rubber bar tread sole for longer wear and traction.</li><li>
Ozone resistant black rubber uppers.</li><li>
Steel shank for stability and durability.</li>","","","Size 9 5-Buckle Overshoe Boot","Size 9 5-Buckle Overshoe Boot",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25767","Rubber Boots|Plain-Toe PVC and Rubber Boots",89050,"R222",,"Size 10 5-Buckle Overshoe Boot","Custom Leathercraft 5-Buckle Rubber Boots","Size 10 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)",/\R\2\5-Buckle-Rubber.png,/\R\2\5-Buckle-Rubber.png,http://www.48ws.com/images/product/R/2/5-Buckle-Rubber.png,Size-10-5-Buckle-Overshoe-Boot,Size-10-5-Buckle-Overshoe-Boot,,No layout updates.,Block after Info Column,,"Size 10 5-Buckle Overshoe Boot","Size 10 5-Buckle Overshoe Boot",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=R220",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size 10 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)<br></br>
<li>Fabric lined for comfort and easy removal.</li><li>
Fits over the shoe</li><li>
Red rubber bar tread sole for longer wear and traction.</li><li>
Ozone resistant black rubber uppers.</li><li>
Steel shank for stability and durability.</li>","","","Size 10 5-Buckle Overshoe Boot","Size 10 5-Buckle Overshoe Boot",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25767","Rubber Boots|Plain-Toe PVC and Rubber Boots",89051,"R223",,"Size 11 5-Buckle Overshoe Boot","Custom Leathercraft 5-Buckle Rubber Boots","Size 11 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)",/\R\2\5-Buckle-Rubber.png,/\R\2\5-Buckle-Rubber.png,http://www.48ws.com/images/product/R/2/5-Buckle-Rubber.png,Size-11-5-Buckle-Overshoe-Boot,Size-11-5-Buckle-Overshoe-Boot,,No layout updates.,Block after Info Column,,"Size 11 5-Buckle Overshoe Boot","Size 11 5-Buckle Overshoe Boot",Use config,"http://www.goclc.com/ProductDetail.aspx?sku=R220",0,,,0,"Custom Leathercraft",302,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size 11 5-Buckle Overshoe Boot","5-Buckle Rubber Boots (Black with Red Trim)<br></br>
<li>Fabric lined for comfort and easy removal.</li><li>
Fits over the shoe</li><li>
Red rubber bar tread sole for longer wear and traction.</li><li>
Ozone resistant black rubber uppers.</li><li>
Steel shank for stability and durability.</li>","","","Size 11 5-Buckle Overshoe Boot","Size 11 5-Buckle Overshoe Boot",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
